elevator_id,location,license_status,license_expiry
11289,320 BAY ST  TORONTO M5H 4A6 ON CA,ACTIVE,2017-05-06
11290,320 BAY ST  TORONTO M5H 4A6 ON CA,ACTIVE,2017-05-06
11291,320 BAY ST  TORONTO M5H 4A6 ON CA,ACTIVE,2017-05-06
11292,320 BAY ST  TORONTO M5H 4A6 ON CA,ACTIVE,2017-05-06
11294,320 BAY ST  TORONTO M5H 4A6 ON CA,ACTIVE,2017-05-06
1130,2072 RIVERSIDE DR  WALKERVILLE N8Y 4S5 ON CA,ACTIVE,2017-09-15
11301,C N E  QE STAGE  TORONTO M6K 3C3 ON CA,ACTIVE,2017-07-15
11303,C N E  QE KITCHEN  TORONTO M6K 3C3 ON CA,PENDING_RENEWAL,2017-11-02
11304,C N E  QE OFFICES  TORONTO M6K 3C3 ON CA,ACTIVE,2017-07-15
11308,C N E  ONT GOV BLDG  TORONTO M6K 3C3 ON CA,ACTIVE,2017-09-24
11317,151 FRONT ST W  TORONTO M5J 2N1 ON CA,ACTIVE,2017-02-13
11318,151 FRONT ST W  TORONTO M5J 2N1 ON CA,ACTIVE,2017-02-13
11321,100 FRONT ST W  TORONTO M5J 1E3 ON CA,ACTIVE,2017-02-05
11322,100 FRONT ST W  TORONTO M5J 1E3 ON CA,ACTIVE,2017-02-08
11323,100 FRONT ST W  TORONTO M5J 1E3 ON CA,ACTIVE,2017-10-14
11324,100 FRONT ST W  TORONTO M5J 1E3 ON CA,ACTIVE,2017-04-15
11325,100 FRONT ST W  TORONTO M5J 1E3 ON CA,ACTIVE,2017-04-15
11326,100 FRONT ST W  TORONTO M5J 1E3 ON CA,ACTIVE,2017-03-22
11327,100 FRONT ST W  TORONTO M5J 1E3 ON CA,ACTIVE,2017-03-22
11328,100 FRONT ST W  TORONTO M5J 1E3 ON CA,ACTIVE,2017-03-22
11329,100 FRONT ST W  TORONTO M5J 1E3 ON CA,ACTIVE,2017-10-14
11330,100 FRONT ST W  TORONTO M5J 1E3 ON CA,ACTIVE,2017-04-15
11331,100 FRONT ST W  TORONTO M5J 1E3 ON CA,ACTIVE,2017-04-15
11332,100 FRONT ST W  TORONTO M5J 1E3 ON CA,ACTIVE,2017-04-15
11333,100 FRONT ST W  TORONTO M5J 1E3 ON CA,ACTIVE,2017-04-15
11334,100 FRONT ST W  TORONTO M5J 1E3 ON CA,ACTIVE,2017-04-15
11335,100 FRONT ST W  TORONTO M5J 1E3 ON CA,ACTIVE,2017-04-15
11336,100 FRONT ST W  TORONTO M5J 1E3 ON CA,ACTIVE,2017-04-15
11337,100 FRONT ST W  TORONTO M5J 1E3 ON CA,ACTIVE,2017-04-15
11338,100 FRONT ST W  TORONTO M5J 1E3 ON CA,ACTIVE,2017-04-15
11339,100 FRONT ST W  TORONTO M5J 1E3 ON CA,ACTIVE,2017-04-15
1134,211 BUCKINGHAM RD  WINDSOR N8S 2C5 ON CA,ACTIVE,2017-11-01
11340,100 FRONT ST W  TORONTO M5J 1E3 ON CA,ACTIVE,2017-04-15
11350,26 DUNCAN ST  TORONTO M5V 2B9 ON CA,ACTIVE,2017-09-15
11354,1460 BAYVIEW AVE  TORONTO M4G 3B3 ON CA,ACTIVE,2017-01-15
11355,364 RICHMOND ST W  TORONTO M5V 1X6 ON CA,ACTIVE,2017-01-19
11357,198 SPADINA AVE  TORONTO M5T 2C2 ON CA,ACTIVE,2017-04-15
11358,77 WELLESLEY ST E  TORONTO M4Y 1H5 ON CA,ACTIVE,2017-02-10
11360,88 CHARLES ST E  TORONTO M4Y 2W7 ON CA,ACTIVE,2016-12-15
11365,1 HOMEWOOD AV  TORONTO M4Y 2J8 ON CA,ACTIVE,2017-07-15
11367,8 KING ST E  TORONTO M5C 1B5 ON CA,ACTIVE,2017-07-31
11369,8 KING ST E  TORONTO M5C 1B5 ON CA,ACTIVE,2017-07-31
1137,27 YORK ST  OTTAWA K1N 5S7 ON CA,ACTIVE,2017-02-15
11370,8 KING ST E  TORONTO M5C 1B5 ON CA,ACTIVE,2017-07-31
11371,8 KING ST E  TORONTO M5C 1B5 ON CA,ACTIVE,2017-07-31
11373,250 LAWRENCE AVE W  TORONTO M5M 1B2 ON CA,ACTIVE,2017-08-25
11375,24-26 ST JOSEPH ST  TORONTO M4Y 1J9 ON CA,ACTIVE,2017-03-15
11376,2 SULTAN ST  TORONTO M5S 1L7 ON CA,ACTIVE,2016-12-15
11378,200 UNIVERSITY AVE  TORONTO M5H 3C6 ON CA,ACTIVE,2017-03-25
