ElevatingDevicesNumber,LocationoftheElevatingDevice,ElevatingDevicesLicenseNumber,LICENSESTATUS,LICENSEEXPIRYDATE,LICENSEHOLDER,LICENSEHOLDERACCOUNTNUMBER,LICENSEHOLDERADDRESS,BILLINGCUSTOMER,BILLINGADDRESS,BILLINGACCOUNT
10754,VINELAND RESEARCH STATION 4902 VICTORIA AVE N LINCOLN L0R 2E0 ON CA,185649,ACTIVE,08-Nov-17,VINELAND RESEARCH AND INNOVATION CENTRE INC,data redacted,4890 VICTORIA AVE N PO BOX 4000 VINELAND STATION ON L0R 2E0 CA,VINELAND RESEARCH AND INNOVATION CENTRE INC,"4890 VICTORIA AVE N PO BOX 4000 VINELAND STATION, ON, L0R 2E0, CA",data redacted
10848,225 JARVIS ST  TORONTO M5B 2C1 ON CA,EDLIC-010848,ACTIVE,15-Mar-17,AMEXON PROPERTY MANAGEMENT INC,data redacted,1200 EGLINTON AVE E ACCOUNTS PAYABLE DEPARTMENT TORONTO ON M3C 1H9 CA,AMEXON PROPERTY MANAGEMENT INC,"1200 EGLINTON AVE E ACCOUNTS PAYABLE DEPARTMENT TORONTO, ON, M3C 1H9, CA",data redacted
10852,225 JARVIS ST  TORONTO M5B 2C1 ON CA,EDLIC-010852,ACTIVE,15-Mar-17,AMEXON PROPERTY MANAGEMENT INC,data redacted,1200 EGLINTON AVE E ACCOUNTS PAYABLE DEPARTMENT TORONTO ON M3C 1H9 CA,AMEXON PROPERTY MANAGEMENT INC,"1200 EGLINTON AVE E ACCOUNTS PAYABLE DEPARTMENT TORONTO, ON, M3C 1H9, CA",data redacted
10853,225 JARVIS ST  TORONTO M5B 2C1 ON CA,EDLIC-010853,ACTIVE,15-Mar-17,AMEXON PROPERTY MANAGEMENT INC,data redacted,1200 EGLINTON AVE E ACCOUNTS PAYABLE DEPARTMENT TORONTO ON M3C 1H9 CA,AMEXON PROPERTY MANAGEMENT INC,"1200 EGLINTON AVE E ACCOUNTS PAYABLE DEPARTMENT TORONTO, ON, M3C 1H9, CA",data redacted
10854,225 JARVIS ST  TORONTO M5B 2C1 ON CA,EDLIC-010854,ACTIVE,15-Mar-17,AMEXON PROPERTY MANAGEMENT INC,data redacted,1200 EGLINTON AVE E ACCOUNTS PAYABLE DEPARTMENT TORONTO ON M3C 1H9 CA,AMEXON PROPERTY MANAGEMENT INC,"1200 EGLINTON AVE E ACCOUNTS PAYABLE DEPARTMENT TORONTO, ON, M3C 1H9, CA",data redacted
1086,2744 EDNA ST  WINDSOR N8Y 1V2 ON CA,EDLIC-001086,CANCELLED_NOT_RENEWED,15-Jul-88,SOMERVILLE INDUSTRIES LTD,data redacted,2744 EDNA ST P O BOX  280 WINDSOR ON N9A 6K7 CA,SOMERVILLE INDUSTRIES LTD,"2744 EDNA ST P O BOX  280 WINDSOR, ON, N9A 6K7, CA",data redacted
1088,110 SECOND ST  COBOURG K9A 4M2 ON CA,EDLIC-001088,BY REQUEST,15-May-01,BIRD ARCHER INC,data redacted,110 SECOND ST P O BOX 2008 COBOURG ON K9A 4M2 CA,BIRD ARCHER INC,"110 SECOND ST P O BOX 2008 COBOURG, ON, K9A 4M2, CA",data redacted
1093,22 RESEARCH RD  TORONTO M4G 2G6 ON CA,EDLIC-001093,PENDING_RENEWAL,15-Jun-17,DOROTHEA KNITTING MILLS LTD,data redacted,51 BETH NEALSON DR  TORONTO ON M4H 1M6 CA,DOROTHEA KNITTING MILLS LTD,"51 BETH NEALSON DR  TORONTO, ON, M4H 1M6, CA",data redacted
1094,22 RESEARCH RD  TORONTO M4G 2G6 ON CA,EDLIC-001094,PENDING_RENEWAL,15-Jun-17,DOROTHEA KNITTING MILLS LTD,data redacted,51 BETH NEALSON DR  TORONTO ON M4H 1M6 CA,DOROTHEA KNITTING MILLS LTD,"51 BETH NEALSON DR  TORONTO, ON, M4H 1M6, CA",data redacted
1099,491 LAWRENCE AV W  TORONTO M5M 1C7 ON CA,206222,ACTIVE,15-Jan-17,BATHURST LAWRENCE MEDICAL PROFESSIONAL INC,data redacted,491 LAWRENCE AV W  TORONTO ON M5M 1C7 CA,BATHURST LAWRENCE MEDICAL PROFESSIONAL INC,"163 CARTWRIGHT AVE  TORONTO, ON, M6A 1V5, CA",data redacted
11,111 WELLESLEY ST W  TORONTO M7A 1A2 ON CA,EDLIC-000011,ACTIVE,15-Apr-17,LEGISLATIVE ASSEMBLY OF ONTARIO ATTN:  JOHN EDELMAN,data redacted,99 WELLESLEY ST W WHITNEY BLOCK  ROOM 2540 TORONTO ON M7A 1A2 CA,LEGISLATIVE ASSEMBLY OF ONTARIO ATTN:  JOHN EDELMAN,"99 WELLESLEY ST W WHITNEY BLOCK  ROOM 2540 TORONTO, ON, M7A 1A2, CA",data redacted
11003,75 SPENCER AVE  TORONTO M6K 2K3 ON CA,EDLIC-011003,ACTIVE,15-Sep-17,METCAP LIVING MANAGEMENT INC,data redacted,3280 BLOOR ST W CENTRE TOWER TORONTO ON M8X 2X3 CA,METCAP LIVING MANAGEMENT INC,"3280 BLOOR ST W CENTRE TOWER TORONTO, ON, M8X 2X3, CA",data redacted
11006,127 BROADWAY AVE  TORONTO M4P 1V4 ON CA,EDLIC-011006,CANCELLED_NOT_RENEWED,15-Jun-14,1191373 ONTARIO INC II,data redacted,61 BINSCARTH RD  TORONTO ON M4W 1Y3 CA,1191373 ONTARIO INC II,"61 BINSCARTH RD  TORONTO, ON, M4W 1Y3, CA",data redacted
11008,5 DONLANDS AVE  TORONTO M4J 3N5 ON CA,EDLIC-011008,CANCELLED_NOT_RENEWED,15-Sep-13,1653681 ONTARIO INC,data redacted,145 ROYAL CREST CRT Suite 6 TORONTO ON L3R 9Z4 CA,1653681 ONTARIO INC,"145 ROYAL CREST CRT Suite 6 TORONTO, ON, L3R 9Z4, CA",data redacted
11010,489 COLLEGE ST  TORONTO M6G 1A5 ON CA,EDLIC-011010,ACTIVE,15-Feb-17,SPEARHEAD DEVELOPMENTS INC,data redacted,"401 BAY ST, SIMPSON TOWER 11TH FLOOR, MAIL BOX 11 TORONTO ON M5H 2Y4 CA",SPEARHEAD DEVELOPMENTS INC,"401 BAY ST, SIMPSON TOWER 11TH FLOOR, MAIL BOX 11 TORONTO, ON, M5H 2Y4, CA",data redacted
11011,211 YONGE ST  TORONTO M5B 1M4 ON CA,218449,ACTIVE,15-Jul-17,HNR PROPERTIES LIMITED,data redacted,21 DUNDAS SQ UNIT 606 TORONTO ON M5B 1B7 CA,HNR PROPERTIES LIMITED,"21 DUNDAS SQ UNIT 606 TORONTO, ON, M5B 1B7, CA",data redacted
11013,345 ADELAIDE ST W  TORONTO M5V 1R5 ON CA,EDLIC-011013,ACTIVE,15-Aug-17,KASOL INVESTMENTS,data redacted,329 SPADINA AV 2ND FLOOR TORONTO ON M5T 2E9 CA,KASOL INVESTMENTS,"329 SPADINA AV 2ND FLOOR TORONTO, ON, M5T 2E9, CA",data redacted
11014,317 ADELAIDE ST W  TORONTO M5V 1P9 ON CA,EDLIC-011014,ACTIVE,15-Oct-17,CAPITOL BUILDING,data redacted,366 ADELAIDE ST W Suite 605 TORONTO ON M5V 1R9 CA,CAPITOL BUILDING,"366 ADELAIDE ST W Suite 605 TORONTO, ON, M5V 1R9, CA",data redacted
11015,317 ADELAIDE ST W  TORONTO M5V 1P9 ON CA,EDLIC-011015,ACTIVE,15-Oct-17,CAPITOL BUILDING,data redacted,366 ADELAIDE ST W Suite 605 TORONTO ON M5V 1R9 CA,CAPITOL BUILDING,"366 ADELAIDE ST W Suite 605 TORONTO, ON, M5V 1R9, CA",data redacted
11021,326 ADELAIDE ST W  TORONTO M5V 1R3 ON CA,EDLIC-011021,ACTIVE,15-Oct-17,318546 ONTARIO LTD,data redacted,326 ADELAIDE ST W 5TH FLOOR TORONTO ON M5V 1R3 CA,318546 ONTARIO LTD,"326 ADELAIDE ST W 5TH FLOOR TORONTO, ON, M5V 1R3, CA",data redacted
11023,159 RUSSELL HILL RD  TORONTO M4V 2S9 ON CA,EDLIC-011023,ACTIVE,15-Jul-17,PINEDALE PROPERTIES LTD,data redacted,970 LAWRENCE AVE W Suite 303 TORONTO ON M6A 3B6 CA,PINEDALE PROPERTIES LTD,"970 LAWRENCE AVE W Suite 303 TORONTO, ON, M6A 3B6, CA",data redacted
11024,177 JAMESON AVE  TORONTO M6K 2Y7 ON CA,EDLIC-011024,ACTIVE,30-Sep-17,177 JAMESON AVE LTD,data redacted,177 JAMESON AVE  TORONTO ON M6K 2Y7 CA,177 JAMESON AVE LTD,"180 KENT ST SUITE 200 OTTAWA, ON, K1P 0B6, CA",data redacted
11025,177 JAMESON AVE  TORONTO M6K 2Y7 ON CA,EDLIC-011025,ACTIVE,30-Sep-17,177 JAMESON AVE LTD,data redacted,177 JAMESON AVE  TORONTO ON M6K 2Y7 CA,177 JAMESON AVE LTD,"180 KENT ST SUITE 200 OTTAWA, ON, K1P 0B6, CA",data redacted
11026,91 KING ST E  TORONTO M5C 1G3 ON CA,EDLIC-011026,ACTIVE,15-Jul-17,ALBANY CLUB OF TORONTO,data redacted,91 KING ST E  TORONTO ON M5C 1G3 CA,ALBANY CLUB OF TORONTO,"91 KING ST E  TORONTO, ON, M5C 1G3, CA",data redacted
11027,10 LAMPORT AV  TORONTO M4W 1S6 ON CA,188692,ACTIVE,31-Jan-17,HOLLYBURN PROPERTIES LTD-20 PRINCE ARTHUR ATTN:  MANAGEMENT OFFICE,data redacted,20 PRINCE ARTHUR AVE 1ST FLOOR TORONTO ON M5R 1B1 CA,HOLLYBURN PROPERTIES LTD-20 PRINCE ARTHUR ATTN:  MANAGEMENT OFFICE,"20 PRINCE ARTHUR AVE 1ST FLOOR TORONTO, ON, M5R 1B1, CA",data redacted
11028,1639 BLOOR ST W  TORONTO M6P 1A6 ON CA,239372,ACTIVE,15-Dec-16,ALHAMBRA INVESTMENTS LTD,data redacted,19 LESMILL RD SUITE 100 TORONTO ON M3B 2T3 CA,ALHAMBRA INVESTMENTS LTD,"19 LESMILL RD SUITE 100 TORONTO, ON, M3B 2T3, CA",data redacted
11029,120 ROSEDALE VALLEY RD  TORONTO M4W 1P8 ON CA,EDLIC-011029,ACTIVE,03-Apr-17,ARBOUR GLEN APTS,data redacted,120 ROSEDALE VALLEY RD  TORONTO ON M4W 1P8 CA,ARBOUR GLEN APTS,"120 ROSEDALE VALLEY RD  TORONTO, ON, M4W 1P8, CA",data redacted
11030,120 ROSEDALE VALLEY RD  TORONTO M4W 1P8 ON CA,EDLIC-011030,ACTIVE,02-May-17,ARBOUR GLEN APTS,data redacted,120 ROSEDALE VALLEY RD  TORONTO ON M4W 1P8 CA,ARBOUR GLEN APTS,"120 ROSEDALE VALLEY RD  TORONTO, ON, M4W 1P8, CA",data redacted
11031,120 ROSEDALE VALLEY RD  TORONTO M4W 1P8 ON CA,EDLIC-011031,ACTIVE,02-Feb-17,ARBOUR GLEN APTS,data redacted,120 ROSEDALE VALLEY RD  TORONTO ON M4W 1P8 CA,ARBOUR GLEN APTS,"120 ROSEDALE VALLEY RD  TORONTO, ON, M4W 1P8, CA",data redacted
11032,166 CARLTON ST  TORONTO M5A 2K5 ON CA,EDLIC-011032,ACTIVE,15-Oct-17,ALLAN PLAZA APARTMENTS LTD C/O BRIARLANE PROPERTY MANAGEMENT INC,data redacted,85 SPY CRT SUITE 100 MARKHAM ON L3R 4Z4 CA,ALLAN PLAZA APARTMENTS LTD C/O BRIARLANE PROPERTY MANAGEMENT INC,"85 SPY CRT SUITE 100 MARKHAM, ON, L3R 4Z4, CA",data redacted
11033,166 CARLTON ST  TORONTO M5A 2K5 ON CA,EDLIC-011033,ACTIVE,15-Oct-17,ALLAN PLAZA APARTMENTS LTD C/O BRIARLANE PROPERTY MANAGEMENT INC,data redacted,85 SPY CRT SUITE 100 MARKHAM ON L3R 4Z4 CA,ALLAN PLAZA APARTMENTS LTD C/O BRIARLANE PROPERTY MANAGEMENT INC,"85 SPY CRT SUITE 100 MARKHAM, ON, L3R 4Z4, CA",data redacted
11035,164 STERLING RD  TORONTO M6R 2B8 ON CA,EDLIC-011035,HOLD_TSD,15-Jun-10,CASTLEPOINT STUDIO PARTNERS LIMITED,data redacted,10710 BATHURST ST  MAPLE ON L6A 4B6 CA,CASTLEPOINT STUDIO PARTNERS LIMITED,"10710 BATHURST ST  MAPLE, ON, L6A 4B6, CA",data redacted
11036,164 STERLING RD  TORONTO M6R 2B8 ON CA,EDLIC-011036,HOLD_TSD,15-Jun-10,CASTLEPOINT STUDIO PARTNERS LIMITED,data redacted,10710 BATHURST ST  MAPLE ON L6A 4B6 CA,CASTLEPOINT STUDIO PARTNERS LIMITED,"10710 BATHURST ST  MAPLE, ON, L6A 4B6, CA",data redacted
11038,15 FRASER AV  TORONTO M6K 1Y6 ON CA,EDLIC-011038,CANCELLED_NOT_RENEWED,15-May-95,FRASER AVENUE HOLDINGS,data redacted,1771 AVENUE RD P O BOX 54565 TORONTO ON M5M 4N5 CA,FRASER AVENUE HOLDINGS,"1771 AVENUE RD P O BOX 54565 TORONTO, ON, M5M 4N5, CA",data redacted
11039,284 KING ST W  TORONTO M5V 1J2 ON CA,EDLIC-011039,ACTIVE,15-Sep-17,ED MIRVISH ENTERPRISES LIMITED,data redacted,581 BLOOR ST W  TORONTO ON M6G 1K3 CA,ED MIRVISH ENTERPRISES LIMITED,"581 BLOOR ST W  TORONTO, ON, M6G 1K3, CA",data redacted
11041,3110 YONGE ST  TORONTO M4N 2K6 ON CA,250952,ACTIVE,15-Aug-17,ZOLTY HOLDINGS,data redacted,4122 BATHURST ST  TORONTO ON M3H 3P2 CA,ZOLTY HOLDINGS,"4122 BATHURST ST  TORONTO, ON, M3H 3P2, CA",data redacted
11042,3112 YONGE ST  TORONTO M4N 2K6 ON CA,250953,ACTIVE,15-Aug-17,ZOLTY HOLDINGS,data redacted,4122 BATHURST ST  TORONTO ON M3H 3P2 CA,ZOLTY HOLDINGS,"4122 BATHURST ST  TORONTO, ON, M3H 3P2, CA",data redacted
11043,10 TORONTO ST  TORONTO M5C 2B7 ON CA,EDLIC-011043,CANCELLED_NOT_RENEWED,15-Jul-09,KARMIC HOLDINGS INC.,data redacted,110 YONGE STREET Suite 1601 TORONTO ON M5C 1T4 CA,KARMIC HOLDINGS INC.,"110 YONGE STREET Suite 1601 TORONTO, ON, M5C 1T4, CA",data redacted
11046,243 COLLEGE ST  TORONTO M5T 1R5 ON CA,EDLIC-011046,ACTIVE,15-May-17,1391389 ONTARIO LIMITED,data redacted,895 DON MILLS RD TOWER 2 TORONTO ON M3C 1W3 CA,1391389 ONTARIO LIMITED,"895 DON MILLS RD TOWER 2 TORONTO, ON, M3C 1W3, CA",data redacted
11047,615 YONGE ST  TORONTO M4Y 1Z5 ON CA,EDLIC-011047,ACTIVE,15-Nov-17,OBERON DEVELOPMENT CORP,data redacted,372 RICHMOND ST W  TORONTO ON M5V 1X6 CA,OBERON DEVELOPMENT CORP,"372 RICHMOND ST W  TORONTO, ON, M5V 1X6, CA",data redacted
11049,82 PETER ST  TORONTO M5V 2G5 ON CA,EDLIC-011049,ACTIVE,15-Aug-17,82 PETER STREET GP LIMITED,data redacted,520 KING ST W SUITE 300  TORONTO ON M5V 1L7 CA,82 PETER STREET GP LIMITED,"520 KING ST W SUITE 300  TORONTO, ON, M5V 1L7, CA",data redacted
11050,500 AVENUE RD  TORONTO M4V 2J6 ON CA,EDLIC-011050,ACTIVE,15-Mar-17,TORONTO STANDARD CONDO CORP 1986,data redacted,500 AVENUE RD  TORONTO ON M4V 2J6 CA,TORONTO STANDARD CONDO CORP 1986,"500 AVENUE RD  TORONTO, ON, M4V 2J6, CA",data redacted
11051,500 AVENUE RD  TORONTO M4V 2J6 ON CA,EDLIC-011051,ACTIVE,15-Mar-17,TORONTO STANDARD CONDO CORP 1986,data redacted,500 AVENUE RD  TORONTO ON M4V 2J6 CA,TORONTO STANDARD CONDO CORP 1986,"500 AVENUE RD  TORONTO, ON, M4V 2J6, CA",data redacted
11052,171 ST CLAIR AVE E  TORONTO M4T 1N9 ON CA,EDLIC-011052,ACTIVE,15-Jun-17,171 ST CLAIR AVENUE EAST C/O HAVCARE INVESTMENTS,data redacted,10 ROYAL ORCHARD BLVD Suite 53046 THORNHILL ON L3T 7R9 CA,171 ST CLAIR AVENUE EAST C/O HAVCARE INVESTMENTS,"10 ROYAL ORCHARD BLVD Suite 53046 THORNHILL, ON, L3T 7R9, CA",data redacted
11053,581 AVENUE RD  TORONTO M4V 2K4 ON CA,265320,ACTIVE,15-Jun-17,AVENHEATH APARTMENTS LTD,data redacted,213-716 GORDON BAKER RD  NORTH YORK ON M2H 3B4 CA,AVENHEATH APARTMENTS LTD,"213-716 GORDON BAKER RD  NORTH YORK, ON, M2H 3B4, CA",data redacted
11054,266 KING ST  TORONTO M5V 1J2 ON CA,EDLIC-011054,ACTIVE,18-Dec-16,ED MIRVISH ENTERPRISES LIMITED,data redacted,581 BLOOR ST W  TORONTO ON M6G 1K3 CA,ED MIRVISH ENTERPRISES LIMITED,"581 BLOOR ST W  TORONTO, ON, M6G 1K3, CA",data redacted
11055,48 ISABELLA ST  TORONTO M4Y 1N2 ON CA,205877,ACTIVE,19-Feb-17,HOLLYBURN PROPERTIES,data redacted,20 PRINCE ARTHUR AVE  TORONTO ON M5R 1B1 CA,HOLLYBURN PROPERTIES,"20 PRINCE ARTHUR AVE  TORONTO, ON, M5R 1B1, CA",data redacted
11056,48 ISABELLA ST  TORONTO M4Y 1N2 ON CA,205876,ACTIVE,19-Feb-17,HOLLYBURN PROPERTIES,data redacted,20 PRINCE ARTHUR AVE  TORONTO ON M5R 1B1 CA,HOLLYBURN PROPERTIES,"20 PRINCE ARTHUR AVE  TORONTO, ON, M5R 1B1, CA",data redacted
11057,169 JAMESON AVE  TORONTO M6K 2Y6 ON CA,232205,ACTIVE,13-Jul-17,169 JAMESON HOLDINGS CORP,data redacted,3280 BLOOR ST W CENTRE TOWER TORONTO ON M8X 2X3 CA,169 JAMESON HOLDINGS CORP,"3280 BLOOR ST W CENTRE TOWER TORONTO, ON, M8X 2X3, CA",data redacted
11061,511 KING ST W  TORONTO M5V 1K4 ON CA,258140,ACTIVE,15-Dec-16,511-539 KING STREET WEST INC,data redacted,134 PETER ST  TORONTO ON M5V 2H2 CA,511-539 KING STREET WEST INC,"134 PETER ST  TORONTO, ON, M5V 2H2, CA",data redacted
11062,119 SPADINA AVE  TORONTO M5V 2L1 ON CA,EDLIC-011062,ACTIVE,15-Aug-17,877389 ONTARIO LIMITED C/O THE BALFOUR BUILDING,data redacted,119 SPADINA AV Suite 401 TORONTO ON M5V 2L1 CA,877389 ONTARIO LIMITED C/O THE BALFOUR BUILDING,"119 SPADINA AV Suite 401 TORONTO, ON, M5V 2L1, CA",data redacted
11063,119 SPADINA AVE  TORONTO M5V 2L1 ON CA,EDLIC-011063,ACTIVE,15-Aug-17,877389 ONTARIO LIMITED C/O THE BALFOUR BUILDING,data redacted,119 SPADINA AV Suite 401 TORONTO ON M5V 2L1 CA,877389 ONTARIO LIMITED C/O THE BALFOUR BUILDING,"119 SPADINA AV Suite 401 TORONTO, ON, M5V 2L1, CA",data redacted
11064,44-50 BALLIOL ST  TORONTO M4S 1C1 ON CA,EDLIC-011064,ACTIVE,15-Dec-16,BALLIOL APARTMENTS LTD,data redacted,44-50 BALLIOL ST  TORONTO ON M4S 1C1 CA,STAR PROPERTY MANAGEMENT LTD,"10520 YONGE ST UNIT 35B, SUITE 221 RICHMOND HILL, ON, L4C 3C7, CA",data redacted
11065,150 BALMORAL AVE  TORONTO M4V 1J4 ON CA,EDLIC-011065,ACTIVE,15-Aug-17,BALMORAL AVENUE APARTMENTS LTD,data redacted,150 BALMORAL AVE SUITE B3 TORONTO ON M4V 1J4 CA,BALMORAL AVENUE APARTMENTS LTD,"150 BALMORAL AVE SUITE B3 TORONTO, ON, M4V 1J4, CA",data redacted
11066,250 UNIVERSITY AVE  TORONTO M5H 3E5 ON CA,274690,ACTIVE,03-Nov-17,250 UNIVERSITY HOLDINGS LIMITED,data redacted,483 BAY ST LOWER LEVEL SOUTH TOWER TORONTO ON M5G 2E1 CA,250 UNIVERSITY HOLDINGS LIMITED,"483 BAY ST LOWER LEVEL SOUTH TOWER TORONTO, ON, M5G 2E1, CA",data redacted
11067,250 UNIVERSITY AVE  TORONTO M5H 3E5 ON CA,274692,ACTIVE,03-Nov-17,250 UNIVERSITY HOLDINGS LIMITED,data redacted,483 BAY ST LOWER LEVEL SOUTH TOWER TORONTO ON M5G 2E1 CA,250 UNIVERSITY HOLDINGS LIMITED,"483 BAY ST LOWER LEVEL SOUTH TOWER TORONTO, ON, M5G 2E1, CA",data redacted
11068,250 UNIVERSITY AVE  TORONTO M5H 3E5 ON CA,274693,ACTIVE,03-Nov-17,250 UNIVERSITY HOLDINGS LIMITED,data redacted,483 BAY ST LOWER LEVEL SOUTH TOWER TORONTO ON M5G 2E1 CA,250 UNIVERSITY HOLDINGS LIMITED,"483 BAY ST LOWER LEVEL SOUTH TOWER TORONTO, ON, M5G 2E1, CA",data redacted
11069,250 UNIVERSITY AVE  TORONTO M5H 3E5 ON CA,274694,ACTIVE,03-Nov-17,250 UNIVERSITY HOLDINGS LIMITED,data redacted,483 BAY ST LOWER LEVEL SOUTH TOWER TORONTO ON M5G 2E1 CA,250 UNIVERSITY HOLDINGS LIMITED,"483 BAY ST LOWER LEVEL SOUTH TOWER TORONTO, ON, M5G 2E1, CA",data redacted
11070,250 UNIVERSITY AVE  TORONTO M5H 3E5 ON CA,274695,ACTIVE,03-Nov-17,250 UNIVERSITY HOLDINGS LIMITED,data redacted,483 BAY ST LOWER LEVEL SOUTH TOWER TORONTO ON M5G 2E1 CA,250 UNIVERSITY HOLDINGS LIMITED,"483 BAY ST LOWER LEVEL SOUTH TOWER TORONTO, ON, M5G 2E1, CA",data redacted
11078,700 ONTARIO ST  TORONTO M4X 1N2 ON CA,EDLIC-011078,ACTIVE,15-Dec-16,BARDUN TOWERS,data redacted,4122 BATHURST ST  TORONTO ON M3H 3P2 CA,BARDUN TOWERS,"4122 BATHURST ST  TORONTO, ON, M3H 3P2, CA",data redacted
11079,700 ONTARIO ST  TORONTO M4X 1N2 ON CA,EDLIC-011079,ACTIVE,15-Dec-16,BARDUN TOWERS,data redacted,4122 BATHURST ST  TORONTO ON M3H 3P2 CA,BARDUN TOWERS,"4122 BATHURST ST  TORONTO, ON, M3H 3P2, CA",data redacted
11080,700 ONTARIO ST  TORONTO M4X 1N2 ON CA,EDLIC-011080,ACTIVE,15-Dec-16,BARDUN TOWERS,data redacted,4122 BATHURST ST  TORONTO ON M3H 3P2 CA,BARDUN TOWERS,"4122 BATHURST ST  TORONTO, ON, M3H 3P2, CA",data redacted
11081,384 ADELAIDE ST W  TORONTO M5V 1R7 ON CA,EDLIC-011081,ACTIVE,15-Apr-17,384 ADELAIDE STREET CORPORATION,data redacted,384 ADELAIDE ST WEST Suite 300 TORONTO ON M5V 1R7 CA,384 ADELAIDE STREET CORPORATION,"384 ADELAIDE ST WEST Suite 300 TORONTO, ON, M5V 1R7, CA",data redacted
11085,95 SAINT JOSEPH ST  TORONTO M5S 2R9 ON CA,EDLIC-011085,ACTIVE,15-May-17,CARDINAL FLAHIFF BASILLIAN CENTRE,data redacted,95 ST JOSEPH ST  TORONTO ON M5S 2R9 CA,CARDINAL FLAHIFF BASILLIAN CENTRE,"95 ST JOSEPH ST  TORONTO, ON, M5S 2R9, CA",data redacted
11089,80 RICHMOND ST W  TORONTO M5H 2A4 ON CA,184926,ACTIVE,31-Jul-17,DREAM OFFICE MANAGEMENT CORP,data redacted,150 YORK ST SUITE 201 TORONTO ON M5H 3S5 CA,DREAM OFFICE MANAGEMENT CORP,"150 YORK ST SUITE 201 TORONTO, ON, M5H 3S5, CA",data redacted
11090,80 RICHMOND ST W  TORONTO M5H 2A4 ON CA,184927,ACTIVE,31-Jul-17,DREAM OFFICE MANAGEMENT CORP,data redacted,150 YORK ST SUITE 201 TORONTO ON M5H 3S5 CA,DREAM OFFICE MANAGEMENT CORP,"150 YORK ST SUITE 201 TORONTO, ON, M5H 3S5, CA",data redacted
11091,80 RICHMOND ST W  TORONTO M5H 2A4 ON CA,184928,ACTIVE,31-Jul-17,DREAM OFFICE MANAGEMENT CORP,data redacted,150 YORK ST SUITE 201 TORONTO ON M5H 3S5 CA,DREAM OFFICE MANAGEMENT CORP,"150 YORK ST SUITE 201 TORONTO, ON, M5H 3S5, CA",data redacted
11092,80 RICHMOND ST W  TORONTO M5H 2A4 ON CA,184929,ACTIVE,31-Jul-17,DREAM OFFICE MANAGEMENT CORP,data redacted,150 YORK ST SUITE 201 TORONTO ON M5H 3S5 CA,DREAM OFFICE MANAGEMENT CORP,"150 YORK ST SUITE 201 TORONTO, ON, M5H 3S5, CA",data redacted
11093,51 WOLSELEY ST  TORONTO M5T 1A4 ON CA,182385,ACTIVE,06-Sep-17,TERRIER PROPERTIES INC,data redacted,166 KING ST E SUITE 100 TORONTO ON M5A 1J3 CA,TERRIER PROPERTIES INC,"166 KING ST E SUITE 100 TORONTO, ON, M5A 1J3, CA",data redacted
11096,76 ADELAIDE ST W  TORONTO M5H 1P6 ON CA,EDLIC-011096,PENDING_RENEWAL,15-May-17,BELL CANADA,data redacted,865 PHARMACY AVE FLR 5 SCARBOROUGH ON M1L 3K7 CA,BELL CANADA,"865 PHARMACY AVE FLR 5 SCARBOROUGH, ON, M1L 3K7, CA",data redacted
11097,76 ADELAIDE ST W  TORONTO M5H 1P6 ON CA,EDLIC-011097,PENDING_RENEWAL,15-May-17,BELL CANADA,data redacted,865 PHARMACY AVE FLR 5 SCARBOROUGH ON M1L 3K7 CA,BELL CANADA,"865 PHARMACY AVE FLR 5 SCARBOROUGH, ON, M1L 3K7, CA",data redacted
11098,76 ADELAIDE ST W  TORONTO M5H 1P6 ON CA,EDLIC-011098,PENDING_RENEWAL,15-May-17,BELL CANADA,data redacted,865 PHARMACY AVE FLR 5 SCARBOROUGH ON M1L 3K7 CA,BELL CANADA,"865 PHARMACY AVE FLR 5 SCARBOROUGH, ON, M1L 3K7, CA",data redacted
11099,76 ADELAIDE ST W  TORONTO M5H 1P6 ON CA,EDLIC-011099,PENDING_RENEWAL,15-May-17,BELL CANADA,data redacted,865 PHARMACY AVE FLR 5 SCARBOROUGH ON M1L 3K7 CA,BELL CANADA,"865 PHARMACY AVE FLR 5 SCARBOROUGH, ON, M1L 3K7, CA",data redacted
11101,1030 DUFFERIN ST  TORONTO M6H 4B6 ON CA,EDLIC-011101,ACTIVE,15-Sep-17,BELL CANADA,data redacted,5025 CREEKBANK RD 5TH FLOOR MISSISSAUGA ON L4W 0B6 CA,BELL CANADA,"5025 CREEKBANK RD 5TH FLOOR MISSISSAUGA, ON, L4W 0B6, CA",data redacted
11103,15 ASQUITH AVE  TORONTO M4W 1J7 ON CA,EDLIC-011103,ACTIVE,15-Feb-17,BELL CANADA REAL ESTATE SERVICES,data redacted,15 ASQUITH AVE  TORONTO ON M4W 1J7 CA,BELL CANADA REAL ESTATE SERVICES,"15 ASQUITH AV FLR 1 TORONTO, ON, M4W 1J7, CA",data redacted
11104,15 ASQUITH AVE  TORONTO M4W 1J7 ON CA,EDLIC-011104,ACTIVE,17-Dec-16,BELL CANADA REAL ESTATE SERVICES,data redacted,15 ASQUITH AVE  TORONTO ON M4W 1J7 CA,BELL CANADA REAL ESTATE SERVICES,"15 ASQUITH AV FLR 1 TORONTO, ON, M4W 1J7, CA",data redacted
