ElevatingDevicesNumber,Latest_INSPECTION_Date,outcome_class,prior_pass_count,prior_followup_count,prior_fail_count,days_since_last_inspection,rolling_pass_rate,prior_order_count,prior_mean_riskscore,alteration_count,device_type_Freight Elevator,device_type_LULA Elevator,device_type_Observation Elevator,device_type_Other,device_type_Passenger Elevator,device_type_nan,prior_outcome_Fail,prior_outcome_Follow Up,prior_outcome_Other,prior_outcome_Pass,prior_outcome_nan
61674,2012-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
28609,2012-01-10,Follow Up,0,0,0,,0.0,0,15.0,4,False,False,False,False,True,False,False,False,False,False,True
40114,2012-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
28608,2012-01-10,Follow Up,0,0,0,,0.0,0,15.0,3,False,False,False,False,True,False,False,False,False,False,True
22566,2012-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
64499642,2012-01-10,Pass,1,1,0,78.0,0.5,0,15.0,0,False,False,False,False,True,False,False,False,False,True,False
64499641,2012-01-10,Pass,1,1,0,78.0,0.5,0,15.0,0,False,False,False,False,True,False,False,False,False,True,False
7924,2012-01-10,Fail,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
71129,2012-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
23305,2012-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
